Reference,Qty,Value,Footprint,Datasheet,Price Per Piece,Total Price,URL
"C1,C2,C3,C4,C5",5,C,Capacitor_THT:C_Rect_L4.6mm_W2.0mm_P2.50mm_MKS02_FKP02,,,,
J1,1,Oled conn,1.3 inch I2C OLED Display Module 4pin,,2.82,2.82,https://robocraze.com/products/1-3in-oled-display?variant=40192586842265&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&campaignid=22114711878&adgroupid=&keyword=&device=c&gad_source=1&gad_campaignid=22124708836&gclid=CjwKCAjw5s_QBhAdEiwADD_gBoe4SvJFH451__PnJrC21u6kG_uUx7ZF1lXf8O52cpprofD-F6TfNhoCO7wQAvD_BwE
J2,1,Battery,WLY803040 3.7V 1000mAh 1S LiPo Battery ,,3.95,3.95,https://robu.in/product/wly803040-1000mah-3-7v-single-cell-rechargeable-lipo-battery/
J3,1,INMP441,INMP441 MEMS ,,1.53,1.53,https://robocraze.com/products/inmp441-mems-high-precision-omnidirectional-microphone-module-i2s?srsltid=AfmBOoqxtsf-0oQUk5GU0-3Q25aZEcQmyTf0ysWsT1Xz9rPCiLSzMSyQ
J4,1,Speaker,Electronic Spices 2 Inch 4Ω (ohm) 5W ,,1.5,1.5,https://www.amazon.in/Electronic-Spices-Power-Woofer-Speaker/dp/B0BN44HPF9/ref=sr_1_5?crid=2U1IEMX8U6EZQ&dib=eyJ2IjoiMSJ9.4izf9I0-RH2SlnkYOKwHUh_OYjdQAL5tGPxEuUjeROV1AjQtuDO75PmWDG9bXNBomTgzoAO25GRZmk_XQlyZ_lqCEFXu1BzwiWoCNvYnDCuAxBbn2F-nweeoCiADuM58iMFj9E4T77vnDxFkEYSibdrap4ZOtO4ghjDvoNpSuNoR2yZHsqFv3L1lOOjF8L5WHC6sifUDBTaZaUV6YR1hMiN-tCr97-s5AO8ZK9P15A-paI_2IbZmuTycXZXAetpcAqw3_QfjFRKebixTVtCwo8aiJsctdYpIfd0MMrROo2Y.UwiIW95sx6Ke0Qva89hmuPBMh2_pt4QP5EzfM9yJo9Q&dib_tag=se&keywords=speaker+4w&qid=1779776518&s=electronics&sprefix=speaker+4w+%2Celectronics%2C472&sr=1-5
J6,1,MPU6050,Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Horizontal,,1.77,1.77,https://robu.in/product/mpu-6050-gyro-sensor-2-accelerometer/
P1,1,USB_C_Plug_USB2.0,Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12,https://www.usb.org/sites/default/files/documents/usb_type-c.zip,,,
"R1,R2,R3",3,R,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,,,,
SW1,1,SW_MEC_5E,Button_Switch_SMD:SW_MEC_5GSH9,https://www.apem.com/medias/download/MEC_switches_serie_MULTIMEC5E.pdf,,,
U1,1,BQ24074RGT,Package_DFN_QFN:VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,http://www.ti.com/lit/ds/symlink/bq24074.pdf,2.86,2.86,https://www.digikey.in/en/products/detail/texas-instruments/BQ24074RGTT/1957746
U2,1,ESP32-C3-WROOM-02,RF_Module:ESP32-C3-WROOM-02,https://www.espressif.com/sites/default/files/documentation/esp32-c3-wroom-02_datasheet_en.pdf,2.1,2.1,https://www.electropi.in/espressif-esp32-c3-wroom-02-n4-module
U3,1,AP2112K-3.3,Package_TO_SOT_SMD:SOT-23-5,https://www.diodes.com/assets/Datasheets/AP2112.pdf,0.26,0.26,https://robu.in/product/ap2112k-1-8trg1-diodes-incorporated-65db1khz-600ma-fixed-1-8v-positive-6v-sot-25-voltage-regulators-linear-low-drop-out-ldo-regulators-rohs/
U4,1,MAX98357A,Package_DFN_QFN:TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,https://www.analog.com/media/en/technical-documentation/data-sheets/MAX98357A-MAX98357B.pdf,1.2,1.2,https://robokits.co.in/sensors/sound/max98357-i2s-3w-class-d-amplifier-interface-audio-decoder-module-filterless-board-for-raspberry-pi-esp32?srsltid=AfmBOoqe17uGQFCqV2RzepbPSOEX9H5SINLq5XCgRWwd57OkMv6JlyRUPaQ
,,,,,,17.99,
